h	1d124 OSR-Style Challenges 
1	There's a circle of mushrooms with a girl inside it.  Everything inside the circle of mushrooms will do everything in their power to get more people inside the circle (no save).  The girl is already their thrall.
2	There's a tiny octopus inside your stomach and it's biting you.
3	The bad guy cannot be hurt by any weapon forged by mortal hands.
4	This glass sphere (3' in diameter) is filled with gems and horrible undead snakes.
5	The party needs to climb this wall. There's a field of unconsciousness halfway up. Anyone who climbs through it passes out, and then revives fully healthy as soon as they leave it.
6	Carbuncle turtle. You need to pop the gem out of its forehead, but the turtle clams up as soon as it sees you. If it ever takes even a single point of damage, the gem crumbles into worthlessness.﻿
7	This good cultist sacrifices a virgin every full moon to assuage the Demon in the Pewling Pit. Stopping the sacrifices will unleash the Demon's fury on the nearby town of Wattledaub. (does this count?)
8	The cowardly, but good, headman of Village A asks the party to stop the headstrong, but good, headman of Village B from raising a righteous revolt against the tyranny of the Knight of the Black Mace, because the Knight would probably just massacre all the villagers of A and B with his legion.﻿
9	This treasure chest only opens when it falls at least 1000' vertical. Alternatively, a strong giant could hammer it open or something. Contains a mattock of titans.﻿
10	This chest only opens when it is inside a stomach. Inside is a livingstonetree nut.﻿
11	An enemy wizard is immortal because she magically obliterated the possibility of her ever actually dying.﻿
12	The only person, who could teach you the spell you want, was turned to stone by a curse 200 years ago. The only way to break the curse is a kiss by his/her true love. Who died 180 years ago.﻿
13	The room is proofed against magic. The door only opens when a bowl is filled with water from a spring down the hall. The hall is long, vented to volcanic heat, so the water will evaporate before reaching the bowl.﻿
14	In the Chamber of the Turtle every turn you can move only half as far as you moved the last turn.﻿
15	The shadow-creature beckons to you from the other side of the mirror. When you peer in from the left or right you can see extra rooms, doors, people. This room/dungeon is otherwise a dead-end and you have not yet found the artifact for which you search.﻿
16	The door only opens when sunlight shines on it, even a tiny amount. The door is on the second floor of the dungeon. Maybe try mirrors?﻿
17	Visible key on the bottom of an acid lake.﻿
18	The sage stone only awakens when it hears the call of a paralophasaur, who have been extinct a long time. Blowing on the skull might work, if you have a skull. An imitation learned from someone who has heard one before might work. Time travel might work. Druids have ways of reviving dead species.﻿
19	A second Ancient Evil/Dark Lord offers PCs their aid in destroying another... but this will leave their new 'ally' in a far stronger position.﻿
20	There is a shrine full of murdered monks on the side of the road, just tucked back into the woods a little bit. In the back of a shrine is normal cat, locked in a cage. One monk still clinging to life tells the pcs that the cat is actually a terrible monster/demon/whatever but it was cursed. If cared for like a kitty king, it will die in 3d4 years of natural causes. If left uncared for, it will change back into a demon.  Do they take the cat? Leave it? And who was just here killing all the monks anyway?
21	The honorable orc clans and the alcoholic hill giants are meeting to discuss a truce. IT MUST NOT HAPPEN.
22	"Ogruk the Flatulant, a hill giant bandit, is known to wear a paralophasaur skull around his nethers. His pet dire honey badgers, Cruncher and Humpy, will run away in fear when air is forcefully and repeatedly propelled through the skull (because they have learnt their lessons). However, blowing air through the skull requires an escalating series of saves to avoid collapsing with nausea (the vile stinkyness is ""baked"" in hard). If this happens the little bastards will rip the hapless and vomiting player to bits. Companions can carry nauseous comrades away, but they will also have to carry the skull as Cruncher and Humpy will not abandon it within sight of Ogruk's corpse. The corpse will quickly decompose and, eventually, explode attracting 1d8 + 2 other dire honey badgers whereupon a frenzied and viscous fight for dominance and mating rights will begin, ending when only 1 disappointed and confused dire honey badger remains. It will then lurk in the vicinity of the skull and attempt to mate with any living thing that passes within sight. The likely outcome is death from significant blood loss.﻿"
23	You have to cross a mud flat to reach <your goal> before <your opposition> does. You have no boats or rafts, and no clue when the flood is coming in.﻿
24	Morlock books ignite when exposed to light. You must find a way to read them. Darkvision is insufficient. Possible solutions include true seeing, exploiting differences between the ink and the paper (specific heat, adhesion to another dye), transmutation into a more stable material, or the painstaking and risky process of just sitting in a dark room, feeling the letters on the page.﻿
25	A porcelain sculpture, 20 beautiful angels all supporting each other atop a a pinhead 20 feet on the air. (Like the brige in Shadow of the Colossus, or that thing where 20 people sit in each other's laps, in a circle). Could be solved with immovable rods, covering the floor with trapeze artist nets, or just a lot of carpentry to build supports.﻿
26	The ice bridge is rebuilt by the ice-tilter every evening. Every night it is covered with sticky super spider cemen(t). Every day it melts.﻿
27	A long underwater tunnel. Level one solution: pig bladders full of air.﻿
28	Two titans are blocking and important path with an immense, esoteric game of strategy. They say you can pass once the game is done. The second titan has been deliberating their third turn for 79 years.﻿
29	A giant glyptodon guzzles gasoline in the ghostly glen, claims it is the firewater and wants more to let you pass.﻿
30	A witch has is the only person with access to important/valuable knowledge. While generally reasonable and willing to negotiate, everything she truly values is terrible (or icky at best).﻿
