h	d100 Starter Oddities Description
1	**Essence Extractor**: Extract the consciousness of a pacified or willing being to be stored within. The consciousness can be injected into the still warm body of a dead being, giving them a new body to inhabit.
2	**Time Bomb**: Time slows down sixty times in a 10m sphere around the blast. Lasts for a minute outside the sphere, or one second inside. One use.
3	**Helpful Bug**: A metal replica of a beetle that can perform simple tasks.
4	**Plasmic Convertor**:  Turns a being\'s blood into a drop of liquid that grants single use of one special property the being has. 2-in-6 chance of converting an undesirable effect instead.
5	**Homunculus Gum**: Whoever chews this gum bonds with the substance, which will begin to shape into a small gummy version of the chewer. It follows orders but has a bad attitude. Adding further gum will increase its size but decrease its loyalty. If somebody new chews up the homunculus, the bond transfers to them.
6	**Pheromone Pack**: One dose each of Attraction, Rage, and Fear pheromones that work on any creature of animal intelligence.
7	**Beastmode Formula**: A liquid tonic that grant the drinker the properties of a specific animal for one minute. Examples are Eyes of a Hawk, Nose of a Dog, Strength of a Bear etc. Three doses.
8	**Gamma Ray**: Fires a green beam (d12). If the target would lose STR, they gain that much STR instead, grow 50% in size, and their physical attacks are *Enhanced*. If their STR would exceed 21 they explode in green smoke. Any effects wear off when combat dies down. Has 3 charges.
9	**Amnesia Font**: Stored at your house. Any head dunked into the water loses a specific memory as defined by the dunker. Anyone drinking the water absorbs all of the memories lost to the font.
10	**Wish Spirit**: Three measures of liquor that each grant a wish. The wish only lasts as long as the bracing kick of the liquor (d6 turns).
11	**Duplicator**: A coffin-sized box. Put one thing in, get two copies. Both copies are hugely inferior to the original.
12	**Mammoth Mask**: Highly ornate with a prehensile trunk and tusks that can be used as a weapon (d6) at a push.
13	**Smart Arm**: The fanciest weapon you own is also intelligent, communicating psychically to whoever is holding it. It functions as a normal weapon and gives smart advice. Once per day it can *Enhance* an attack that particularly pleases it, but it can *Impair* attacks attacks that displease it any time it likes. Roll 1d6 to find its personality: 1: Honourable, 2: Ambitious, 3: Bloodthirsty, 4: Curious, 5: Pacifist, 6: Bored.
14	**Devourer**: A football-sized bug that curls up in your backpack, but can be woken once per day to eat its own size in organic matter, no matter how inedible.
15	**Truth Leaf**: Smoking this hallucinogenic herb reveals a ridiculous truth and a ridiculous lie. Three doses.
16	**Dehydrated Beasts**: Three rubbery things resembling toy animals. If thrown into water, roll d6 to see what the thing expands into. 1: Mishydration (just a mass of twitching flesh), 2: Crush Beast (STR 18, 7hp, d12 Crush), 3: Brain Beast (WIL 18, 9hp, d8 Brain-Ray), 4: Wing Beast (12hp, d8 Beak), 5: Slime Beast (8hp, Armour 2, d6 Slime Spew), 6: Jaw Beast (STR 14, 10hp, d10 Jaws). When there\'s nothing left to kill, the creature collapses into inert powder.
17	**Hover Plate**: Platter-sized tray that freezes in space if you whistle a specific tune. There\'s a second tune to release it. It supports up to one person\'s weight and can be forcibly released with a STR Save.
18	**Spare Head**: A completely different head that you can switch with your own. Both heads can survive just fine off your body, and generally dislike not being the main head. Roll a new WIL score for each head. WIL damage and psychological effects only affect one head at a time.
19	**Genesis Molasses**: A tin of deep green syrup that causes lush vegetation to grow within minutes, no matter where it is spread. If eaten, the victim loses d6 STR and begins coughing up moss.
20	**Demon Collar**: Any being wearing this collar begins to take on a demonic appearance and loses d6 WIL each day. At WIL 0 they lose their identity, claim a new identity in your service, but will only follow instructions that cause harm to others.
