h	D100 Random Items
1	Four rotted humanoid finger bones tied to a lanyard of braided copper wire.
2	A wooden teetotum with the numbers 1 through 10 painted on them.
3	A thumb-sized ball of red thread with two needles sticking out of it.
4	Four thimbles, one made of carved bone, one of copper, one of soap stone, and one of hardened leather.
5	A red, gold, and black military ribbon given out for bravery.
6	A dark green felt hat with a wide brim and a flat top.
7	A small brass cloak pin worked to look like a bunch of grapes.
8	A set of eating utensils made of steel and carved bone. it is contained inside a case that looks like a fish.
9	A curved and smoothly carved piece of yew wood marked with four notches.
10	The flight feathers of a harpy eagle.
11	A very thin reed flute.
12	A bronze plate the size of a palm with an oak leaf motif etched into it.
13	A fancy and rather garish silk handkerchief imprinted with a kaleidoscope of colors and patterns.
14	A foldable leather drinking cup marked with the sigil of the famous gnomish artisan Gigilote.
15	A small handheld woven wicker box and lid.
16	A writing set consisting of two nibbed feathers, an ink pot, and a pot of sand for blotting. This kit is all wrapped up in a neat deerskin roll.
17	A painted yellow ceramic ocarina with only four holes.
18	A pamphlet on children's string games.
19	Half a deck of cards.
20	A small wooden box with a sliding lid that contains 20' of fishing line and six hooks.
21	A figurine of a giraffe carved out of a red stained mahogany wood.
22	A red silk pair of women's dress gloves.
23	A Phrygian style hat in blue.
24	The King's Golden Lily, a medal given out to nobles for gallantry and honor in battle.
25	A half full half-keg of hard apple cider.
26	Just the right hand of a pair of chainmail gauntlets.
27	A hand-sized iron box. Its lid has a small grate built into it. This is commonly filled with sand and an ember or two is placed inside the box then slipped into one's bed to help warm it in the wintertime.
28	A small leather pouch containing four sticks of charcoal.
29	A foot-long carved wooden ladle.
30	A bronze cookpot that can hold up to a gallon of liquid.
31	A small leatherbound book on identifying different species of dragons based on their head shapes.
32	A small, polished bronze hand mirror.
33	Six extremely sharp obsidian arrow heads.
34	A book-sized placard with a film of wax melted on top, for writing messages.
35	A small pouch containing around twenty flat, smooth stones perfect for skipping across water.
36	A painted cameo of a beautiful, matronly looking woman in a green dress.
37	A glass goblet etched with the symbol of a powerful noble house.
38	A leather case that hangs on the belt containing three small vials. One vial contains holy water (1 damage to creatures with chaotic alignments), one vial contains distilled alcohol mixed with wood ash, and the last vial contains lead shavings.
39	A series of letters from a child to their distant parent. It is clear from the messages that the parent left to fight as a soldier. The little girl can only plead with him to return and never leave their farm again.
40	A small soapstone jar with medicinal lip balm made of botanicals and animal fat in it. (10 uses)
41	A small glass jar and stopper. The jar is filled completely with wood shavings.
42	Three lead soldiers. Their paint has started to rub off.
43	A clam shell larger than an open hand.
44	A deck of intricately painted fortune teller's cards.
45	A roll-up leather game board with almost enough pieces to play the Game of Kings.
46	A set of brass hand chimes.
47	A personal knife with an intricately carved horn handle.
48	A mustard-yellow and burgundy sleeveless surcoat with painted horn buttons.
49	A bracelet made of orc teeth strung together with copper wire.
50	A small carved marble head of a dwarf, about the size of an apricot.
51	A lead curse tablet with a curse asking the gods to strike the current town leader down for their mean spirit and stingy nature.
52	A book of 300-year-old dwarven poetry, mainly haiku.
53	A ceramic beer stein twice the size of most steins.
54	A pet hamster named Norman.
55	A perfume bottle smelling of lilacs and honey with an individual use of perfume still left in it.
56	A small box made of thin strips of maple bark filled with incense.
