h	**Occupation** (What the hell is that?): Starting Weapon, Something extra
1	**Academic**: Staff, Quill and ink
2	**Actor**: Cudgel, Flowers, 1 bunch
3	**Alchemist**: Staff, Oil, 1 flask
4	**Animal Trainer**: Whip, Pony
5	**Apothecary**: Dagger, Pestle and mortar
6	**Aristocrat**: Rapier, Foppish wig
7	**Armourer**: Spiked gauntlet (cestus), Iron helmet
8	**Artist**: Sharpened paintbrush, Self portrait
9	**Assassin**: Knife in sleeve sheathe, Poison, 1 dose
10	**Astrologer**: Wiggly dagger, Spyglass
11	**Atilliator** (Crossbow maker): Crossbow, Iron bars
12	**Baker**: Breadknife, Bread, 1 loaf
13	**Barber**: Straight razor, Scissors
14	**Bartender**: Crossbow, Beer, 6 pack
15	**Beekeeper**: Jar of bees, Honey, 1 jar
16	**Beggar**: Sling, Crutches
17	**Bellringer**: Long hook (mancatcher), Rope, 50'
18	**Besom maker** (Broom maker): Broom (staff), Corn stalks, 1 bundle
19	**Blacksmith**: Blacksmith's hammer, Steel tongs
20	**Bloodletter**: Knife, Leeches, 1 jar
21	**Bodger** (Guy who makes chair legs in the forest): Knife, Shaving horse
22	**Bouncer**: Brass knuckles, Groin protection
23	**Bowyer**: Longbow, Spare bowstring
24	**Brewer**: Keg tapper, Cask of ale
25	**Bricklayer**: Bricklaying stick (staff), Bag of bricks
26	**Busker**: Reinforced instrument, Instrument case.
27	**Butcher**: Meat cleaver, Ham hock
28	**Butler**: Empty bottle, Tin serving tray
29	**Candlestick maker**: Candlestick, 3 candles
30	**Caravan guard**: Shortsword, Linen, 1 yard
31	**Cartographer**: Shortsword, Local area map
32	**Chalk cutter**: Chisel, Chalk, 5 pieces
33	**Charcoal burner**: Scoop, Charcoal, 1 bag
34	**Cheesemonger**: Cheesewire (garotte), Cheese, 1 wheel
35	**Chimney sweep**: Broom (staff), Wire brush
36	**Chirurgeon**: Bonesaw, Needle and thread
37	**Clockmaker**: Turnscrew (ye olde screwdriver), Specialist's tools
38	**Clown**: Club, Huge shoes
39	**Cobbler**: Awl, Shoehorn
40	**Colporteur** (Seller of (mainly religious) books): Letter opener, Religious tome
41	**Cook**: Fillet knife, Chef hat
42	**Cooper** (Barrel maker): Crowbar, Barrel
43	**Courtesan**: Stiletto in boot sheath, Make up kit
44	**Crystal carver**: Chisel, Crystals, 1 pouch
45	**Cultist**: Wiggly dagger, Blood, 1 pint
46	**Cutpurse**: Dagger, Small chest
47	**Dentist**: Hammer, Sack of teeth
48	**Diplomat**: Cudgel, Fancy clothes
49	**Ditch digger**: Shovel, Dirt, 1 bag
50	**Dog breeder**: Whip, Dog
51	**Drug dealer**: Shank, Cocaine-analog, 1 oz.
52	**Dung collector**: Pitchfork, Manure, 1 bag
53	**Dyer**: Stirring paddle (club), 3 small jars of dye
54	**Engraver**: Chisel, 3 Etchings
55	**Falconer**: Thick leather glove, Trained hawk
56	**False prophet**: Staff, Devoted disciple
57	**Farmer (crops)**: Scythe, Ox
58	**Farmer (dairy)**: Goad (spear), Milk, 1 pint
59	**Farmer (drugs)**: Shank, 3 joints
60	**Farmer (flowers)**: Spade, Flowers, 1 bunch
61	**Farmer (fruit)**: Garden shears, Fruit, 1 bag
62	**Farmer (herbs)**: Sickle, Herbs, 1 pouch
63	**Farmer (mushrooms)**: Trowel (dagger), Mushrooms, 1 bag
64	**Farmer (pigs)**: Crook (staff), Piglet
65	**Farmer (poultry)**: Boning knife, Hen
66	**Farmer (vegetables)**: Hoe (staff), Vegetables, 1 bag (5 standard rations)
67	**Farmer (worms) **: Club, Worms, 1 jar
68	**Farrier** (Guy who puts shoes on horses.): Hoof nippers (club), Horseshoe, iron
69	**Fence** (Middleman buyer of shifty merchandise): Light crossbow, 10sp sewn into jacket hem
70	**Fireman**: Fire axe, Bucket
71	**Fisherman (freshwater)**: Boning knife, Fishing rod & tackle
72	**Fisherman (sea)**: Large net, Fish
73	**Flagellant**: Thick, knotted rope (flail), Shitty relic
74	**Fletcher**: Shortbow, Arrows, Bundle of 100
75	**Food critic**: Steak knife, Fortified wine, one bottle
76	**Forester**: Longbow, Bear trap
77	**Fortune teller**: Wiggly dagger, Tarot deck
78	**Fowler** (Wildfowl catcher): Boning knife, Dog
79	**Fuller**: Club, Bale of wool
80	**Furrier**: Skinning knife, Dog pelt
81	**Gambler**: Club, Dice
82	**Gardener**: Shovel, Secateurs
83	**Glassblower**: Glassblowing tube, 3 empty jars
84	**Gluemaker**: Huge spoon, Glue, 1 pot
85	**Gong farmer** (Remover of shit from outhouses): Trowel (dagger), Night soil, 1 bag
86	**Gossip**: Dagger, Parchment and ink
87	**Grave digger**: Shovel, Grave dirt, 1 bag
88	**Grave robber**: Shovel, Small yet valuable totem (5sp)
89	**Greengrocer**: Staff, Handcart
90	**Grifter**: Dagger, Quality cloak
91	**Gutter cleaner**: Gutter pole (staff), Bucket
92	**Gyspy**: Sling, Voodoo doll
93	**Haberdasher**: Scissors (dagger), Pocketful of buttons
94	**Handyman**: Hammer, Ladder
95	**Hawker**: Dagger, Small, valuable goods (10sp)
96	**Hayward**: Shears, Horn
97	**Healer**: Club, Holy water, 1 vial
98	**Hedge trimmer**: Shears, Clippers
99	**Herbalist**: Dagger, Herbs, 1 pouch
100	**Hermit**: Gnarled oak club, Bearskin cloak
101	**Horse whisperer**: Lassoo (mancatcher), Horse hair brush
102	**Hunter**: Shortbow, Deer Pelt
103	**Icecutter**: Ice saw, 50 pound block of ice
104	**Incense bearer**: Censor (flail), Incense
105	**Jester**: Dart, Silk clothes
106	**Jeweler**: Chisel (dagger), Uncut jewel worth 20sp
107	**Joiner**: Mallet, Chair
108	**Knacker**: Hammer, Jar of glue
109	**Lamp lighter**: 10' pole, Flint and tinder
110	**Lawyer**: Rapier, Law books
111	**Leatherworker**: Club, Leather armour
112	**Leech**: Dagger, Jar of leeches
113	**Librarian**: Letter opener, Interesting book
114	**Lighterman** (Ferries goods from ship to shore): 10' pole, Shallow-bottomed boat
115	**Linkboy**: Big stick (club), Hooded lantern
116	**Locksmith**: Dagger, Specialist's tools
117	**Lookout**: Shortbow, Spyglass
118	**Mason**: Hammer, Chunk of marble
119	**Mercenary**: Longsword, Leather armour
120	**Messenger**: Shortbow, Horse
121	**Midwife**: Scalpel (dagger), Forceps
122	**Miller**: Club, Flour, 1 bag.
123	**Milliner**: Scissors (dagger), Vial of mercury
124	**Miner**: Pickaxe, Bag of coal
125	**Minstrel**: Dagger, Lame instrument
126	**Moneylender**: Dagger, 3d6 sp
127	**Monk**: Staff, Religious tome
128	**Mucker**: Pitchfork (spear), Broom
129	**Night watchman**: Truncheon, Shiny steel helmet
130	**Nobleman's son**: Longsword, silver ring worth 20 sp
131	**Organ thief**: Scalpel (dagger), Spare kidney on ice in sack
132	**Orphan**: Big stick, Rag doll
133	**Ostler**: Staff, Bridle
134	**Outlaw**: Shortsword, Leather armour
135	**Oyster raker**: Rake, Crushed oyster shells, 1 bag
136	**Painter**: Paint scraper (dagger), Paints and brushes
137	**Parchment maker**: Scraping knife (dagger), Parchment, 3 pieces
138	**Pawnbroker**: Crossbow, Fancy clothes
139	**Peat cutter**: Spade, Peat, 1 bag
140	**Philosopher**: Pen (it's mightier!), Large, half-empty tome
141	**Pickler**: Ladle, Brine, 1 jar
142	**Pie maker**: Rolling pin, Delicious pie
143	**Pirate**: Cutlass, Treasure map
144	**Plague doctor**: Knife, Crow-beaked mask
145	**Postman**: Cudgel, Handcart
146	**Prison warden**: Mancatcher, Bunch of keys
147	**Prostitute**: Brass knuckles, Make up kit
148	**Puppeteer**: Club, Puppet
149	**Quill cutter**: Dagger, Uncut feathers, 2d4
150	**Rat catcher**: Long net (staff), Small but vicious dog
151	**Riverbank comber**: Gaff hook (mancatcher), Manky net
152	**Sailor**: Shortsword, Spyglass
153	**Scholar**: Dagger, Complicated Book
154	**Scribe**: Darts, Parchment, 10 sheets
