h	Appearances	physical detail	background	clothing	personality	mannerism	Wilderness NPCs	Underworld NPCs	Civilized NPCs	NPC Goals	Secrets	Reputations	Relationships	Hobbies	Assets	Liabilities	Missions	Mutations	"Insanities ("""": things that are believed to be true by insane character)"	Misfortunes
1	Aquiline	Bronze skinned 	Alchemist	Antique	Bitter	Anecdotes	Apiarist	Alchemist	Acolyte	A better life	Addicted 	Ambitious	Adviser 	Archaeology 	Authority	Addiction 	Apprehend	Ages 	Always lies	Abandoned
2	Athletic	Exotic accent	Beggar-prince	Battle-torn	Brave	Drawl	Bandit	Beggar-prince	Actor	Enlightenment	Cultist 	Authoritative	Client	Collecting cats	Excellent liar	Gambler	Deface	Animal eyes	Always polite	Addicted
3	Barrel-chested	Acid scars	Blackmailer	Bedraggled	Cautious	Interrupts	Caravan Guard	Blackmailer	Apothecary	Infamy	Ghost	Boor	Blackmailer 	Art collecting 	Gorgeous	Alcoholic 	Exfiltrate	Attracts birds	“Animal-form”	Arrested
4	Boney	Battle scars	Bounty-hunter	Blood-stained	Chipper	Breathy	Caravaneer	Bounty-hunter	Baker	Acceptance	Artificial 	Borrower	Confidant	Cuisine	Avoids detection	Glutton	Assassinate	Animal head	Cannot count	Blackmailed
5	Brawny	Birthmark	Chimney sweep	Ceremonial	Contrary	Enunciates	Druid	Chimney sweep	Barber	Fame	Demigod 	Celebrity	Business partner 	Bad fiction 	Extremely rich	Corrupt ally 	Defraud	Child-form	Cannot lie	Burgled
6	Brutish	Braided hair	Coin-clipper	Dated	Cowardly	Laconic	Exile	Coin-clipper	Blacksmith	Infiltrate faction	Has a child	Charitable	Debtor	Dark lore	Hears rumors	Greedy	Extort	Animal legs	Faceblind	Challenged
7	Bullnecked	Brand mark	Hedge knight	Grimy	Lazy	Chuckles	Outlander	Hedge knight	Item-seller	Acquire item	Assassin 	Misanthrope	Business rival 	Calligraphy 	Calls in favors	Coward 	Blackmail	Corpulence	Fears rivers	Framed
8	Chiseled	Broken nose	Highwayman	Haute couture	Loyal	Flowery speech	Tinker	Highwayman	Jeweler	Found faction	Evil lineage 	Miser	Disciple	Dog breeding	Faction-leader	Heretic	Deliver	Animal mouth	Fears silence	Haunted
9	Coltish	Long hair	Housebreaker	Lacey	Menacing	Laughs	Pilgrim	Housebreaker	Knight	Justice	Heretic	Neighborly	Buyer 	Card games 	Huge family	Decadent 	Follow	Covered in hair	Fears sleep	Humiliated
10	Corpulent	Matted hair	Kidnapper	Livery	Mopey	Clipped	Poacher	Kidnapper	Locksmith	Craft item	Bankrupt 	Nutjob	Guardian	Embroidery	Charming	Huge debts	Burgle	Animal skin	Fears sunlight	Impoverished
