h	disaster
00	Planetary destruction
01	Economic crisis
02	Meteor shower
03	Volcanic eruptions
04	Rebellion
05	Gravitational anomaly
06	Nuclear war
07	Invasive species
08	Tornado
09	Mass manipulation
10	Android rebellion
11	Acid rain
12	Jihad
13	Wild mutations
14	Cosmic rays
15	Mind parasite infestation
16	Drug war
17	Mass depression
18	Zombie infection
19	External oppressors
20	Cultural decline
21	Dimension fusion
22	Water shortage
23	Mass extinction
24	Cosmic insanity
25	Cybernetic infection
26	Mass disappearances
27	Mass infertility
28	Space-time rift
29	Embargo
30	Network collapse
31	Mass surveillance
32	Antimatter infection
33	Nuclear disaster
34	Blockade
35	Earthquake
36	Only androids left
37	Cannibal cults
38	Mass stultification
39	Opening wormholes
40	Extreme heatwave
41	Civil war
42	Pandemic
43	Time anomaly
44	Terrorist attacks
45	AI uprise
46	Cannibal carnage
47	Ice age
48	Desertification
49	Geomagnetic storm
50	Gamma-ray burst
51	Space station collision
52	AI singularity
53	Electromagnetic storm
54	Mass deforestation
55	Space fragmentation
56	Geopolitical conflict
57	Meteor impact
58	Genocide
59	Magnetic pole swap
60	Mass memory loss
61	Giant storms
62	Ethnic conflicts
63	Climate change
64	Alien symbiosis
65	Ecological catastrophe
66	Total anarchy
67	Solar flare
68	Virtual reality breakdown
69	Total oppression
70	Mass hallucinations
71	Cosmic anomaly
72	Mass frenzy
73	Planetary core death
74	Technological degradation
75	Mass suicide wave
76	Atmospheric burning
77	Supernova explosion
78	Gene-engineering fusion
79	Dimension shift
80	Vampiric infection
81	Super-volcano eruption
82	Electromagnetic pulse
83	Superheated gas eruption
84	Star shutdown
85	Fungal infection
86	Decadence
87	Hive mind evolution
88	Mega tsunami
89	Complete isolation
90	Dark matter leakage
91	Mass helplessness
92	Religious war
93	Hyperspace congestion
94	Refugees
95	Floods
96	Nanomachine outbreak
97	Alien invasion
98	Parasitic infection
99	Famine
